9.937388000000000000e+07 1.125795592227750888e+02 0.000000000000000000e+00
9.997226264478878677e+07 1.174028903452829979e+02 0.000000000000000000e+00
1.005742484676922262e+08 1.223933914840776538e+02 0.000000000000000000e+00
1.011798591653498262e+08 1.275551320322766458e+02 3.386632065949804150e+06
1.017891165650479943e+08 1.328922147587618099e+02 1.283070702553583309e+07
1.024020426255068034e+08 1.384087737460140772e+02 2.452904740391950309e+07
1.030186594376713783e+08 1.441089722588891107e+02 3.685711947138407081e+07
1.036389892255080640e+08 1.499970005461097742e+02 4.870040407476640493e+07
1.042630543468054831e+08 1.560770735763846631e+02 5.941287834500595927e+07
1.048908772939803153e+08 1.623534287112233869e+02 6.869659626237122715e+07
1.055224806948879659e+08 1.688303233166599284e+02 7.647698481853407621e+07
1.061578873136380762e+08 1.755120323162366844e+02 8.279967397758860886e+07
1.067971200514150858e+08 1.824028456877518920e+02 8.778326954033614695e+07
1.074402019473035336e+08 1.895070659064003848e+02 9.158058401562821865e+07
1.080871561791184694e+08 1.968290053370840553e+02 9.435166358918184042e+07
1.087380060642407984e+08 2.043729835787952425e+02 9.624819138931134343e+07
1.093927750604577065e+08 2.121433247640986508e+02 9.740825341195760667e+07
1.100514867668081075e+08 2.201443548168750795e+02 9.796122437889291346e+07
1.107141649244332165e+08 2.283803986715878978e+02 9.801275960396674275e+07
1.113808334174322337e+08 2.368557774574678376e+02 9.765035327668735385e+07
1.120515162737230510e+08 2.455748056510971367e+02 9.694864912534359097e+07
1.127262376659084558e+08 2.545417882009928121e+02 9.597268436965462565e+07
1.134050219121471494e+08 2.637610176278752192e+02 9.478193640068413317e+07
1.140878934770303965e+08 2.732367711043848431e+02 9.343046707885824144e+07
1.147748769724636823e+08 2.829733075181205209e+02 9.195530081578144431e+07
1.154659971585537195e+08 2.929748645218997467e+02 9.038542556777481735e+07
1.161612789445009977e+08 3.032456555752551139e+02 8.874452132951430976e+07
1.168607473894973993e+08 3.137898669811980312e+02 8.705232190175536275e+07
1.175644277036294490e+08 3.246116549223452239e+02 8.532525655745652318e+07
1.182723452487869561e+08 3.357151425005481542e+02 8.357756981570298970e+07
1.189845255395770669e+08 3.471044167841783405e+02 8.182104588297723234e+07
1.197009942442438155e+08 3.587835258672558325e+02 8.006388505876405537e+07
